Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label_x,Label_y,mean_return,volatility
4/1/2020,2020,4,1,Wednesday,13,2020-13,85.1,86.56,83.25,84.36,28029600,79.44,-6.299,84.42071429,109.7658,Red,Red,-1.3274000000000001,4.305766168755567
4/2/2020,2020,4,2,Thursday,13,2020-13,83.51,87.91,82.96,87.51,24018000,82.41,3.739,83.31785714,108.8398,Red,Red,-1.3274000000000001,4.305766168755567
4/3/2020,2020,4,3,Friday,13,2020-13,86.0,87.48,82.77,84.05,21199400,79.97,-2.961,83.08642857,107.8676,Red,Red,-1.3274000000000001,4.305766168755567
4/6/2020,2020,4,6,Monday,14,2020-14,88.99,90.99,87.7,89.46,26820800,85.12,6.44,82.85928571,107.0622,Green,Green,5.1935,3.274789407987431
4/7/2020,2020,4,7,Tuesday,14,2020-14,94.45,94.5,90.38,90.64,22563800,86.24,1.316,83.37642857,106.3004,Green,Green,5.1935,3.274789407987431
4/8/2020,2020,4,8,Wednesday,14,2020-14,92.1,94.86,90.55,94.3,22903300,89.73,4.047,84.04785714,105.563,Green,Green,5.1935,3.274789407987431
4/9/2020,2020,4,9,Thursday,14,2020-14,96.92,104.39,96.89,102.76,42055900,97.78,8.971,85.41571429,104.9904,Green,Green,5.1935,3.274789407987431
4/13/2020,2020,4,13,Monday,15,2020-15,103.11,103.11,97.3,98.19,26911900,93.43,-4.449,86.77357143,104.2996,Green,Green,-1.3898,5.860052917849805
4/14/2020,2020,4,14,Tuesday,15,2020-15,101.02,102.0,93.64,95.5,46151300,90.87,-2.74,87.31571429,103.624,Green,Green,-1.3898,5.860052917849805
4/15/2020,2020,4,15,Wednesday,15,2020-15,91.15,92.03,90.13,90.79,30118600,86.39,-4.93,87.31642857,102.8398,Green,Green,-1.3898,5.860052917849805
4/16/2020,2020,4,16,Thursday,15,2020-15,90.23,90.57,87.05,87.33,32449600,83.09,-3.82,86.65142857,101.9536,Green,Green,-1.3898,5.860052917849805
4/17/2020,2020,4,17,Friday,15,2020-15,92.0,95.7,90.96,95.18,30191900,90.56,8.99,86.99,101.1734,Green,Green,-1.3898,5.860052917849805
4/20/2020,2020,4,20,Monday,16,2020-16,92.47,94.71,90.46,91.71,23679400,87.26,-3.644,86.93357143,100.3268,Green,Green,-0.937,2.2134566858197156
4/21/2020,2020,4,21,Tuesday,16,2020-16,88.62,91.38,88.33,89.05,23035000,84.73,-2.899,86.93,99.4378,Green,Green,-0.937,2.2134566858197156
4/22/2020,2020,4,22,Wednesday,16,2020-16,90.69,91.87,89.18,89.34,16662400,85.01,0.33,87.32785714,98.5438,Green,Green,-0.937,2.2134566858197156
4/23/2020,2020,4,23,Thursday,16,2020-16,89.74,91.28,89.26,89.39,16638800,85.05,0.047,87.51642857,97.6456,Green,Green,-0.937,2.2134566858197156
4/24/2020,2020,4,24,Friday,16,2020-16,90.64,91.1,88.49,90.71,15809200,86.31,1.481,87.96928571,96.7726,Green,Green,-0.937,2.2134566858197156
4/27/2020,2020,4,27,Monday,17,2020-17,91.94,95.63,91.54,94.62,22870200,90.03,4.31,88.32,95.9764,Green,Green,0.5903999999999998,3.0011305869621867
4/28/2020,2020,4,28,Tuesday,17,2020-17,97.81,98.36,95.03,95.29,20238900,90.67,0.711,88.63642857,95.2008,Green,Green,0.5903999999999998,3.0011305869621867
4/29/2020,2020,4,29,Wednesday,17,2020-17,99.08,99.45,97.27,97.86,20462600,93.11,2.691,88.87785714,94.5084,Green,Green,0.5903999999999998,3.0011305869621867
4/30/2020,2020,4,30,Thursday,17,2020-17,95.6,96.84,94.55,95.76,19127600,91.12,-2.137,88.40214286,93.7412,Green,Green,0.5903999999999998,3.0011305869621867
5/1/2020,2020,5,1,Friday,17,2020-17,93.5,93.74,91.84,93.25,18547700,88.73,-2.623,88.06642857,92.9262,Green,Green,0.5903999999999998,3.0011305869621867
5/4/2020,2020,5,4,Monday,18,2020-18,92.02,92.67,90.8,92.14,15725900,87.67,-1.195,87.83785714,92.1218,Red,Red,-0.11099999999999999,1.4731325466501648
5/5/2020,2020,5,5,Tuesday,18,2020-18,93.65,94.21,91.9,92.0,18064100,87.54,-0.148,87.92,91.3834,Red,Red,-0.11099999999999999,1.4731325466501648
5/6/2020,2020,5,6,Wednesday,18,2020-18,92.16,92.76,89.93,90.27,20978000,85.89,-1.885,88.12,90.7232,Red,Red,-0.11099999999999999,1.4731325466501648
5/7/2020,2020,5,7,Thursday,18,2020-18,91.34,92.91,90.58,91.21,16771900,86.79,1.048,87.85071429,90.0738,Red,Red,-0.11099999999999999,1.4731325466501648
5/8/2020,2020,5,8,Friday,18,2020-18,92.8,94.08,92.11,92.7,20487800,88.2,1.625,87.91785714,89.5518,Red,Red,-0.11099999999999999,1.4731325466501648
5/11/2020,2020,5,11,Monday,19,2020-19,91.11,91.11,89.33,89.97,31907600,85.61,-2.937,87.98071429,89.0772,Red,Red,-1.4716,3.21084253740354
5/12/2020,2020,5,12,Tuesday,19,2020-19,90.15,90.79,86.9,87.03,27962900,82.81,-3.271,87.82357143,88.4446,Red,Red,-1.4716,3.21084253740354
5/13/2020,2020,5,13,Wednesday,19,2020-19,86.38,86.86,83.4,84.03,35451600,79.95,-3.454,87.45928571,87.8408,Red,Red,-1.4716,3.21084253740354
5/14/2020,2020,5,14,Thursday,19,2020-19,82.72,88.11,82.4,87.52,35152500,83.28,4.165,87.24285714,87.2492,Red,Red,-1.4716,3.21084253740354
5/15/2020,2020,5,15,Friday,19,2020-19,86.85,87.28,85.3,85.9,26099000,81.73,-1.861,86.65,86.7372,Red,Red,-1.4716,3.21084253740354
5/18/2020,2020,5,18,Monday,20,2020-20,88.69,91.15,87.88,90.45,30504400,86.06,5.298,86.32071429,86.4228,Green,Green,0.8572000000000001,3.140814337078841
5/19/2020,2020,5,19,Tuesday,20,2020-20,90.05,91.2,88.59,88.67,19597300,84.37,-1.964,85.69642857,86.3504,Green,Green,0.8572000000000001,3.140814337078841
5/20/2020,2020,5,20,Wednesday,20,2020-20,90.71,92.39,90.37,91.33,20552400,86.9,2.999,85.395,86.1918,Green,Green,0.8572000000000001,3.140814337078841
5/21/2020,2020,5,21,Thursday,20,2020-20,90.27,91.76,89.67,90.17,14621400,85.8,-1.266,85.18571429,86.1004,Green,Green,0.8572000000000001,3.140814337078841
5/22/2020,2020,5,22,Friday,20,2020-20,90.01,90.36,88.72,89.47,13557900,85.13,-0.781,85.00428571,86.1446,Green,Green,0.8572000000000001,3.140814337078841
5/26/2020,2020,5,26,Tuesday,21,2020-21,92.89,97.5,92.61,95.82,41233900,91.17,7.095,85.26357143,86.011,Green,Green,2.2115,4.934548780452643
5/27/2020,2020,5,27,Wednesday,21,2020-21,102.07,102.58,98.8,101.37,39402000,96.45,5.791,86.01785714,86.2758,Green,Green,2.2115,4.934548780452643
5/28/2020,2020,5,28,Thursday,21,2020-21,102.94,102.95,99.4,99.86,24713900,95.02,-1.483,86.60571429,86.4102,Green,Green,2.2115,4.934548780452643
5/29/2020,2020,5,29,Friday,21,2020-21,98.66,99.18,96.78,97.31,26526400,92.59,-2.557,86.91928571,86.682,Green,Green,2.2115,4.934548780452643
6/1/2020,2020,6,1,Monday,22,2020-22,97.75,99.51,97.38,98.6,15176800,93.82,1.328,87.50571429,86.9518,Green,Green,2.7286,2.1443648943218596
6/2/2020,2020,6,2,Tuesday,22,2020-22,100.28,100.42,97.93,98.93,21195000,94.13,0.33,88.31428571,87.2618,Green,Green,2.7286,2.1443648943218596
6/3/2020,2020,6,3,Wednesday,22,2020-22,101.58,104.92,101.06,104.27,25941100,99.21,5.397,89.69,87.7576,Green,Green,2.7286,2.1443648943218596
6/4/2020,2020,6,4,Thursday,22,2020-22,103.82,106.61,102.79,106.44,26784700,101.28,2.086,90.97571429,88.1176,Green,Green,2.7286,2.1443648943218596
6/5/2020,2020,6,5,Friday,22,2020-22,114.93,115.77,109.53,111.23,42231000,105.84,4.502,92.69785714,88.5068,Green,Green,2.7286,2.1443648943218596
6/8/2020,2020,6,8,Monday,23,2020-23,113.41,114.19,111.94,113.45,24881800,107.95,1.994,94.26142857,88.8178,Red,Red,-2.0460000000000003,4.558458785598484
6/9/2020,2020,6,9,Tuesday,23,2020-23,110.65,111.63,109.01,110.54,17031100,105.18,-2.566,95.74785714,89.205,Red,Red,-2.0460000000000003,4.558458785598484
6/10/2020,2020,6,10,Wednesday,23,2020-23,110.46,110.51,105.85,106.06,24913300,100.92,-4.05,96.74928571,89.4624,Red,Red,-2.0460000000000003,4.558458785598484
6/11/2020,2020,6,11,Thursday,23,2020-23,100.03,101.58,96.54,97.21,36259200,92.5,-8.343,97.22785714,89.6168,Red,Red,-2.0460000000000003,4.558458785598484
6/12/2020,2020,6,12,Friday,23,2020-23,100.71,101.13,97.33,99.87,24856800,95.03,2.735,97.935,89.9286,Red,Red,-2.0460000000000003,4.558458785598484
6/15/2020,2020,6,15,Monday,24,2020-24,96.42,101.43,95.87,101.25,22153600,96.34,1.379,98.30428571,90.2072,Green,Green,-0.4062,1.5552129114690376
6/16/2020,2020,6,16,Tuesday,24,2020-24,105.37,105.68,99.31,102.06,22193600,97.11,0.799,98.35142857,90.55,Green,Green,-0.4062,1.5552129114690376
6/17/2020,2020,6,17,Wednesday,24,2020-24,102.53,102.54,99.21,99.48,15639800,94.66,-2.523,98.32571429,90.7408,Green,Green,-0.4062,1.5552129114690376
6/18/2020,2020,6,18,Thursday,24,2020-24,98.67,100.52,98.13,98.94,16591900,94.14,-0.549,98.43642857,90.8988,Green,Green,-0.4062,1.5552129114690376
6/19/2020,2020,6,19,Friday,24,2020-24,100.53,100.6,96.73,97.81,40371200,93.07,-1.137,98.38285714,90.9656,Green,Green,-0.4062,1.5552129114690376
6/22/2020,2020,6,22,Monday,25,2020-25,97.25,97.95,96.54,96.75,16216900,92.06,-1.085,98.235,90.8512,Red,Red,-1.0404,3.5564349143489187
6/23/2020,2020,6,23,Tuesday,25,2020-25,98.97,99.97,97.85,97.93,15381400,93.18,1.217,97.80428571,90.8462,Red,Red,-1.0404,3.5564349143489187
6/24/2020,2020,6,24,Wednesday,25,2020-25,96.75,96.84,94.31,94.66,22919800,90.07,-3.338,97.00357143,90.8302,Red,Red,-1.0404,3.5564349143489187
