Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-05-18,2017,5,18,Thursday,20,2017-20,84.07,84.8,83.36,83.96,23350100,73.64,-0.0036787862885186984,76.00571428571428,76.54860000000001
2017-05-19,2017,5,19,Friday,20,2017-20,84.21,85.34,84.15,84.78,13412900,74.36,0.0097667162898889,75.86285714285715,76.4386
2017-05-22,2017,5,22,Monday,21,2017-21,85.18,85.29,84.21,84.7,11636000,74.29,-0.0009434314597813742,75.75,76.33239999999999
2017-05-23,2017,5,23,Tuesday,21,2017-21,84.75,86.07,84.51,85.76,11753000,75.22,0.012514864476133258,75.67214285714286,76.24340000000001
2017-05-24,2017,5,24,Wednesday,21,2017-21,85.88,85.97,85.24,85.71,9833800,75.17,-0.0005832234506542022,75.58500000000001,76.1508
2017-05-25,2017,5,25,Thursday,21,2017-21,85.99,86.08,85.08,85.35,12238500,74.86,-0.004200137010631044,75.48142857142857,76.0482
2017-05-26,2017,5,26,Friday,21,2017-21,85.11,85.56,85.02,85.36,8113500,74.87,0.00011689928469249544,75.37285714285714,75.94720000000001
2017-05-30,2017,5,30,Tuesday,22,2017-22,85.13,85.15,83.78,83.9,12603200,73.59,-0.01710371902123431,75.19428571428571,75.8374
2017-05-31,2017,5,31,Wednesday,22,2017-22,83.73,83.82,81.64,82.15,28327900,72.05,-0.020858516482804457,74.86357142857142,75.70819999999999
2017-06-01,2017,6,1,Thursday,22,2017-22,82.46,83.08,81.65,83.06,17123500,72.85,0.011077416545063778,74.60642857142857,75.64099999999999
2017-06-02,2017,6,2,Friday,22,2017-22,82.29,82.99,81.98,82.64,14998500,72.48,-0.005056445947491328,74.33785714285715,75.564
2017-06-05,2017,6,5,Monday,23,2017-23,82.64,83.51,82.58,82.79,9080200,72.61,0.0018149911129328178,74.05285714285715,75.492
2017-06-06,2017,6,6,Tuesday,23,2017-23,82.29,83.22,82.13,82.96,12196800,72.76,0.002053571475477245,73.76142857142858,75.42479999999999
2017-06-07,2017,6,7,Wednesday,23,2017-23,83.31,84.11,83.1,83.91,13711100,73.6,0.011451058024915195,73.73928571428573,75.3752
2017-06-08,2017,6,8,Thursday,23,2017-23,83.91,85.73,83.89,84.95,17951000,74.51,0.012394260194561246,73.80142857142857,75.32
2017-06-09,2017,6,9,Friday,23,2017-23,85.51,87.05,85.39,86.96,19120200,76.27,0.023660850190750926,73.93785714285715,75.3058
2017-06-12,2017,6,12,Monday,24,2017-24,86.96,87.74,86.89,86.98,16053400,76.29,0.00023017024795968233,74.08071428571428,75.2788
2017-06-13,2017,6,13,Tuesday,24,2017-24,87.55,87.85,86.98,87.27,12557200,76.54,0.003334050387184151,74.175,75.2776
2017-06-14,2017,6,14,Wednesday,24,2017-24,86.77,87.31,85.82,87.09,16175700,76.38,-0.0020625786748721398,74.26142857142858,75.2788
2017-06-15,2017,6,15,Thursday,24,2017-24,86.25,87.08,86.24,86.57,12509700,75.93,-0.0059707983324633895,74.33785714285715,75.2658
2017-06-16,2017,6,16,Friday,24,2017-24,86.85,86.96,86.02,86.18,16936600,75.59,-0.0045048715775490855,74.38928571428572,75.2656
2017-06-19,2017,6,19,Monday,25,2017-25,86.97,88.23,86.85,88.07,15972300,77.24,0.02193073741112861,74.65,75.2934
2017-06-20,2017,6,20,Tuesday,25,2017-25,87.75,87.92,87.37,87.52,11197800,76.76,-0.006245409675249003,74.98642857142856,75.3168
2017-06-21,2017,6,21,Wednesday,25,2017-25,87.48,87.55,86.76,87.12,10005900,76.41,-0.004569875694292347,75.24071428571429,75.3386
2017-06-22,2017,6,22,Thursday,25,2017-25,86.93,87.36,86.65,87.02,12180600,76.32,-0.0011478386416045039,75.515,75.3612
2017-06-23,2017,6,23,Friday,25,2017-25,87.66,88.0,86.61,86.86,18812000,76.18,-0.0018386922873385725,75.77,75.3868
2017-06-26,2017,6,26,Monday,26,2017-26,87.01,87.67,86.62,87.24,10082400,76.52,0.004374863238580495,76.03857142857143,75.4366
2017-06-27,2017,6,27,Tuesday,26,2017-26,87.71,88.94,87.5,88.05,15415200,77.23,0.009284843964686873,76.29785714285715,75.475
2017-06-28,2017,6,28,Wednesday,26,2017-26,88.6,90.07,88.6,89.82,17466200,78.78,0.020102034535966817,76.60285714285715,75.55680000000001
2017-06-29,2017,6,29,Thursday,26,2017-26,92.34,92.65,90.31,91.15,27697800,79.95,0.014807175507181691,76.86571428571429,75.6742
2017-06-30,2017,6,30,Friday,26,2017-26,91.96,92.0,91.16,91.4,16892700,80.16,0.0027429152965767756,77.14214285714286,75.77680000000001
2017-07-03,2017,7,3,Monday,27,2017-27,91.56,93.48,91.41,92.75,13208100,81.8,0.02035180245796897,77.51785714285714,75.9302
2017-07-05,2017,7,5,Wednesday,27,2017-27,93.12,93.79,92.61,93.68,17535400,82.62,0.010027218922327608,77.96357142857143,76.04780000000001
2017-07-06,2017,7,6,Thursday,27,2017-27,93.54,94.51,92.88,93.38,16596100,82.35,-0.0032025939903157497,78.42214285714284,76.1466
2017-07-07,2017,7,7,Friday,27,2017-27,93.96,94.17,93.23,93.85,12817800,82.77,0.00503342492089609,78.93500000000002,76.2508
2017-07-10,2017,7,10,Monday,28,2017-28,93.5,93.68,93.09,93.19,13987200,82.18,-0.007032483119818966,79.28785714285713,76.3576
2017-07-11,2017,7,11,Tuesday,28,2017-28,93.33,93.33,92.28,92.83,13262300,81.87,-0.003863320015573546,79.65285714285714,76.4688
2017-07-12,2017,7,12,Wednesday,28,2017-28,92.61,92.83,92.07,92.51,13540100,81.58,-0.003447007800034041,80.02214285714285,76.5732
2017-07-13,2017,7,13,Thursday,28,2017-28,92.69,93.38,92.34,93.1,12820100,82.11,0.00637771920417296,80.43571428571428,76.69800000000001
2017-07-14,2017,7,14,Friday,28,2017-28,90.81,92.61,90.58,92.25,22235200,81.36,-0.009130081758625397,80.80571428571429,76.799
2017-07-17,2017,7,17,Monday,29,2017-29,91.82,91.99,91.25,91.39,14374200,80.6,-0.009322334863767434,81.09714285714286,76.8832
2017-07-18,2017,7,18,Tuesday,29,2017-29,90.45,91.58,90.32,91.07,14719400,80.31,-0.003501698927917074,81.31714285714285,76.9632
2017-07-19,2017,7,19,Wednesday,29,2017-29,91.34,91.62,91.0,91.2,11651200,80.43,0.0014274690954887426,81.43499999999999,77.04400000000001
2017-07-20,2017,7,20,Thursday,29,2017-29,91.15,91.72,90.9,91.2,11561700,80.43,0.0,81.4692857142857,77.1308
2017-07-21,2017,7,21,Friday,29,2017-29,91.06,91.36,90.52,90.89,10971300,80.16,-0.0033987696890073194,81.46928571428573,77.2004
2017-07-24,2017,7,24,Monday,30,2017-30,90.96,91.54,90.91,91.28,10725100,80.5,0.00429060118672564,81.37642857142858,77.28139999999999
2017-07-25,2017,7,25,Tuesday,30,2017-30,92.37,93.52,92.27,92.8,16447700,81.84,0.016652074465151046,81.32071428571429,77.3934
2017-07-26,2017,7,26,Wednesday,30,2017-30,93.1,93.19,91.68,91.93,11815500,81.07,-0.009374756164328923,81.22928571428572,77.48280000000001
2017-07-27,2017,7,27,Thursday,30,2017-30,91.83,92.06,91.16,91.55,12332400,80.74,-0.004133747194261517,81.08428571428571,77.5608
2017-07-28,2017,7,28,Friday,30,2017-30,91.45,91.75,90.91,91.28,9351900,80.5,-0.0029493005864676958,80.96428571428571,77.6926
2017-07-31,2017,7,31,Monday,31,2017-31,91.51,92.36,91.5,91.8,11520300,80.96,0.005696834645367854,80.89928571428571,77.839
2017-08-01,2017,8,1,Tuesday,31,2017-31,92.49,93.14,92.28,93.03,12523700,82.04,0.01339860020447814,80.93214285714285,77.9926
2017-08-02,2017,8,2,Wednesday,31,2017-31,92.87,93.21,92.51,93.11,10165600,82.11,0.0008599922723444564,80.93214285714286,78.149
2017-08-03,2017,8,3,Thursday,31,2017-31,92.7,93.13,92.24,92.5,11078800,81.58,-0.006551434924243482,80.94785714285715,78.2762
2017-08-04,2017,8,4,Friday,31,2017-31,93.5,94.4,93.47,93.66,14324000,82.6,0.012540682233539435,81.09071428571428,78.42479999999999
2017-08-07,2017,8,7,Monday,32,2017-32,93.89,94.19,93.71,94.02,7978300,82.92,0.003843564025378665,81.27714285714285,78.586
2017-08-08,2017,8,8,Tuesday,32,2017-32,93.95,95.22,93.6,93.68,13745400,82.62,-0.00361611340131629,81.43357142857144,78.741
2017-08-09,2017,8,9,Wednesday,32,2017-32,92.98,93.68,92.83,93.53,11214400,82.48,-0.0016012969951578748,81.58,78.9188
2017-08-10,2017,8,10,Thursday,32,2017-32,92.9,93.07,92.07,92.19,13252300,81.3,-0.014326845541115851,81.66142857142857,79.1038
2017-08-11,2017,8,11,Friday,32,2017-32,92.13,92.67,91.24,91.42,10679500,80.62,-0.008352281881959467,81.66999999999999,79.2592
2017-08-14,2017,8,14,Monday,33,2017-33,92.37,92.9,92.33,92.49,10994800,81.57,0.011704206195553013,81.65071428571427,79.441
2017-08-15,2017,8,15,Tuesday,33,2017-33,93.31,93.56,92.65,92.73,8812700,81.78,0.0025947588322210446,81.70142857142858,79.6244
2017-08-16,2017,8,16,Wednesday,33,2017-33,93.04,93.23,91.88,92.09,11085400,81.21,-0.006901915754851107,81.735,79.7934
2017-08-17,2017,8,17,Thursday,33,2017-33,91.76,91.96,90.5,90.65,13837500,79.94,-0.01563665020906202,81.69500000000001,79.9202
2017-08-18,2017,8,18,Friday,33,2017-33,90.31,91.54,90.19,90.74,13040700,80.02,0.000992701610424973,81.62785714285714,80.0304
2017-08-21,2017,8,21,Monday,34,2017-34,90.85,90.94,90.16,90.63,11502100,79.93,-0.0012123317670393874,81.47714285714287,80.1036
2017-08-22,2017,8,22,Tuesday,34,2017-34,91.07,91.71,91.0,91.56,9211800,80.75,0.010261773347911118,81.38,80.19279999999999
2017-08-23,2017,8,23,Wednesday,34,2017-34,90.87,92.34,90.84,91.67,8811300,80.84,0.0012010961041286627,81.32714285714285,80.2788
2017-08-24,2017,8,24,Thursday,34,2017-34,91.93,92.12,91.41,91.52,8623200,80.71,-0.0016362194704643285,81.19214285714285,80.3654
2017-08-25,2017,8,25,Friday,34,2017-34,91.88,92.48,91.8,91.89,11794600,81.04,0.004042710869795352,81.05785714285715,80.4676
2017-08-28,2017,8,28,Monday,35,2017-35,92.16,92.19,91.13,91.6,7292900,80.78,-0.003155677451522343,80.92642857142856,80.5714
2017-08-29,2017,8,29,Tuesday,35,2017-35,90.45,91.31,90.31,91.1,10886100,80.34,-0.005458577868435621,80.77357142857143,80.6334
2017-08-30,2017,8,30,Wednesday,35,2017-35,91.25,91.88,91.19,91.31,9165300,80.53,0.002304925543839653,80.71857142857142,80.7088
2017-08-31,2017,8,31,Thursday,35,2017-35,91.81,91.85,90.8,90.89,13217400,80.16,-0.004599250158506596,80.6857142857143,80.7838
